LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-102.20617,42.01013,73,273,60,0.5
-101.33641,40.35707,102,200,80,0.5
-102.01419,41.46746,71,246,90,0.5
-81.43597,29.79951,109,338,10,0.5
-90.77704,28.13379,141,201,-999,-999
-90.82677,27.58318,173,198,-999,-999
-90.64954,27.58989,170,195,-999,-999
-90.34537,27.95733,145,191,-999,-999
-90.27859,28.26946,126,191,-999,-999
-91.02748,27.37849,188,200,-999,-999
-89.90105,32.19,111,358,20,0.5
-89.90735,32.34027,120,358,80,0.75
-89.67439,32.16988,110,4,90,1
-89.34401,32.11019,109,13,100,1.25
-80.55695,22.19379,157,156,-999,-999
-80.97354,26.61458,127,18,-999,-999
-89.67023,32.18252,17,110,80,0.75
-89.32366,32.11717,35,106,100,1.25
-101.35761,29.00547,181,166,-999,-999
-104.14462,29.74225,166,218,-999,-999
-101.27196,29.12869,175,164,-999,-999
-104.50813,30.81225,137,241,-999,-999
-101.77271,28.95681,180,173,-999,-999
-100.87398,35.60148,147,66,-999,-999
-101.36202,35.55301,124,63,70,0.5
-89.24233,35.84247,160,67,-999,-999
-89.01302,35.65442,167,72,-999,-999
-100.74494,36.52746,127,265,-999,-999
-100.6706,35.74726,137,245,-999,-999
-101.05963,36.41395,143,263,-999,-999
-100.86594,35.61899,149,244,-999,-999
-99.9187,36.57576,87,264,90,0.5
-101.05389,36.42052,78,24,30,0.5
-102.10469,35.89239,44,334,80,0.5
-101.30155,35.62866,31,40,90,0.5
-99.9237,36.5632,118,47,90,0.5
-100.69118,35.72731,58,59,90,0.5
-100.81467,35.66811,51,59,100,0.75
-100.7182,36.55949,93,31,100,0.75
-79.34036,30.89332,189,89,-999,-999
-81.43191,29.81081,104,128,30,0.5
-84.91004,30.61461,100,261,40,0.5
-101.61555,39.08165,126,72,-999,-999
-101.51743,39.22511,133,69,-999,-999
-89.90906,32.35742,132,320,-999,-999
-89.90052,32.18328,124,317,40,0.5
-89.68585,32.18979,117,321,90,0.75
-89.34072,32.11722,103,327,90,1.25
